2026-07-04 18:33:27.798 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:33:27.798 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:33:31.851 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:33:31.851 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:33:35.950 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:33:35.950 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:33:40.797 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:33:40.797 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:33:45.090 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:33:45.090 | ERROR    | __main__:send_data:117 - Сетевая ошибка при отправке на Go-бэкенд: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /api/v1/entities (Caused by NewConnectionError("HTTPConnection(host='localhost', port=8080): Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение"))
2026-07-04 18:46:22.371 | ERROR    | __main__:prepare_dataset:56 - Ошибка при парсинге Information_sources\Доклады\Техсовет по геомеханике,презентация Кулагин А.Д. рудоспуски.pdf: Document requires OCR
2026-07-04 18:55:28.512 | ERROR    | parser.pdf_parser:parse:102 - Ошибка парсинга PDF-файла missing.pdf: [Errno 2] No such file or directory: 'C:\\Users\\user\\AppData\\Local\\Temp\\pytest-of-user\\pytest-22\\test_pdf_parser_robustness0\\missing.pdf'
2026-07-04 18:55:28.523 | ERROR    | parser.pdf_parser:parse:102 - Ошибка парсинга PDF-файла valid.pdf: '>' not supported between instances of 'int' and 'MagicMock'
2026-07-04 18:55:52.471 | ERROR    | parser.pdf_parser:parse:102 - Ошибка парсинга PDF-файла missing.pdf: [Errno 2] No such file or directory: 'C:\\Users\\user\\AppData\\Local\\Temp\\pytest-of-user\\pytest-23\\test_pdf_parser_robustness0\\missing.pdf'
2026-07-04 18:56:12.641 | ERROR    | parser.pdf_parser:parse:102 - Ошибка парсинга PDF-файла missing.pdf: [Errno 2] No such file or directory: 'C:\\Users\\user\\AppData\\Local\\Temp\\pytest-of-user\\pytest-24\\test_pdf_parser_robustness0\\missing.pdf'
2026-07-04 18:56:12.656 | ERROR    | parser.pdf_parser:parse:102 - Ошибка парсинга PDF-файла valid.pdf: expected string or bytes-like object, got 'MagicMock'
2026-07-04 18:56:44.359 | ERROR    | parser.pdf_parser:parse:102 - Ошибка парсинга PDF-файла missing.pdf: [Errno 2] No such file or directory: 'C:\\Users\\user\\AppData\\Local\\Temp\\pytest-of-user\\pytest-25\\test_pdf_parser_robustness0\\missing.pdf'
2026-07-04 19:00:32.250 | ERROR    | __main__:prepare_dataset:56 - Ошибка при парсинге Information_sources\Доклады\Техсовет по геомеханике,презентация Кулагин А.Д. рудоспуски.pdf: Document requires OCR
2026-07-04 19:07:58.755 | ERROR    | parser.pdf_parser:parse:117 - Ошибка парсинга PDF-файла missing.pdf: [Errno 2] No such file or directory: 'C:\\Users\\user\\AppData\\Local\\Temp\\pytest-of-user\\pytest-26\\test_pdf_parser_robustness0\\missing.pdf'
2026-07-04 19:07:58.769 | ERROR    | parser.pdf_parser:parse:117 - Ошибка парсинга PDF-файла valid.pdf: expected string or bytes-like object, got 'MagicMock'
2026-07-04 19:08:15.522 | ERROR    | parser.pdf_parser:parse:117 - Ошибка парсинга PDF-файла missing.pdf: [Errno 2] No such file or directory: 'C:\\Users\\user\\AppData\\Local\\Temp\\pytest-of-user\\pytest-27\\test_pdf_parser_robustness0\\missing.pdf'
2026-07-04 19:08:15.534 | ERROR    | parser.pdf_parser:parse:117 - Ошибка парсинга PDF-файла valid.pdf: expected string or bytes-like object, got 'MagicMock'
2026-07-04 19:08:39.186 | ERROR    | parser.pdf_parser:parse:117 - Ошибка парсинга PDF-файла missing.pdf: [Errno 2] No such file or directory: 'C:\\Users\\user\\AppData\\Local\\Temp\\pytest-of-user\\pytest-28\\test_pdf_parser_robustness0\\missing.pdf'
2026-07-04 19:10:44.720 | ERROR    | __main__:prepare_dataset:56 - Ошибка при парсинге Information_sources\Доклады\Техсовет по геомеханике,презентация Кулагин А.Д. рудоспуски.pdf: Document requires OCR
2026-07-04 19:19:27.081 | ERROR    | parser.pdf_parser:parse:117 - Ошибка парсинга PDF-файла missing.pdf: [Errno 2] No such file or directory: 'C:\\Users\\user\\AppData\\Local\\Temp\\pytest-of-user\\pytest-29\\test_pdf_parser_robustness0\\missing.pdf'
